alias,material_base_norm,material_grade_norm,confidence,source_file,source_row,review_required,review_reason
X39Cr 13,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
1.4031,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
X38Cr 13,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
Z40C 14,40Cr13,40Cr13,0.95,材料价格.xlsx,71,FALSE,
6060,6060,6060,0.95,材料价格.xlsx,77,FALSE,
中等强度，耐腐蚀性能好,6060,6060,0.95,材料价格.xlsx,77,FALSE,
6061,6061,6061,0.95,材料价格.xlsx,78,FALSE,
A1MgSiCu,6061,6061,0.95,材料价格.xlsx,78,FALSE,
A-GSUC,6061,6061,0.95,材料价格.xlsx,78,FALSE,
6061-T4,6061-T4,6061-T4,0.95,材料价格.xlsx,79,FALSE,
6061-T5,6061-T5,6061-T5,0.95,材料价格.xlsx,80,FALSE,
6061-T6,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
AlMg1SiCu,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
3.3211,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
3.1645,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
3.3547,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
热处理耐腐蚀性合金,6061-T6,6061-T6,0.95,材料价格.xlsx,81,FALSE,
6061-T651,6061-T651,6061-T651,0.95,材料价格.xlsx,82,FALSE,
6063,6063,6063,0.95,材料价格.xlsx,83,FALSE,
A1MgSi0.5,6063,6063,0.95,材料价格.xlsx,83,FALSE,
A-GS,6063,6063,0.95,材料价格.xlsx,83,FALSE,
1310,6063,6063,0.95,材料价格.xlsx,83,FALSE,
6063-T6,6063-T6,6063-T6,0.95,材料价格.xlsx,84,FALSE,
5052,5052,5052,0.95,材料价格.xlsx,85,FALSE,
A1Mg2,5052,5052,0.95,材料价格.xlsx,85,FALSE,
A-G2,5052,5052,0.95,材料价格.xlsx,85,FALSE,
2L.55,5052,5052,0.95,材料价格.xlsx,85,FALSE,
耐蚀性好，焊接性优良，冷加工性较好,5052,5052,0.95,材料价格.xlsx,85,FALSE,
5053(日本进口),5053(日本进口),5053(日本进口),0.95,材料价格.xlsx,86,FALSE,
AlMg2.5,5053(日本进口),5053(日本进口),0.95,材料价格.xlsx,86,FALSE,
3.3523,5053(日本进口),5053(日本进口),0.95,材料价格.xlsx,86,FALSE,
5052-H32,5052-H32,5052-H32,0.95,材料价格.xlsx,87,FALSE,
5056,5056,5056,0.95,材料价格.xlsx,88,FALSE,
AlMg5,5056,5056,0.95,材料价格.xlsx,88,FALSE,
A-G5,5056,5056,0.95,材料价格.xlsx,88,FALSE,
5056A,5056,5056,0.95,材料价格.xlsx,88,FALSE,
5083,5083,5083,0.95,材料价格.xlsx,89,FALSE,
高镁合金,5083,5083,0.95,材料价格.xlsx,89,FALSE,
MIC6,MIC6,MIC6,0.95,材料价格.xlsx,90,FALSE,
抗腐蚀性、抗氧化性好,MIC6,MIC6,0.95,材料价格.xlsx,90,FALSE,
5183,5183,5183,0.95,材料价格.xlsx,91,FALSE,
"AlMg4,5Mn",5183,5183,0.95,材料价格.xlsx,91,FALSE,
7075(国产),7075(国产),7075(国产),0.95,材料价格.xlsx,92,FALSE,
AlZnMgCu0.5,7075(国产),7075(国产),0.95,材料价格.xlsx,92,FALSE,
AlZn5.5MgCu,7075(国产),7075(国产),0.95,材料价格.xlsx,92,FALSE,
3.4365/3.4345,7075(国产),7075(国产),0.95,材料价格.xlsx,92,FALSE,
7075(进口),7075(进口),7075(进口),0.95,材料价格.xlsx,93,FALSE,
AlZnMgCu1.5,7075(进口),7075(进口),0.95,材料价格.xlsx,93,FALSE,
普通抗腐蚀性能,7075(进口),7075(进口),0.95,材料价格.xlsx,93,FALSE,
7076-T6,7076-T6,7076-T6,0.95,材料价格.xlsx,94,FALSE,
7A09,7A09,7A09,0.95,材料价格.xlsx,95,FALSE,
A-ZSGU,7A09,7A09,0.95,材料价格.xlsx,95,FALSE,
L95,7A09,7A09,0.95,材料价格.xlsx,95,FALSE,
7075-t351,7075-t351,7075-t351,0.95,材料价格.xlsx,96,FALSE,
ADC-12,ADC-12,ADC-12,0.95,材料价格.xlsx,97,FALSE,
YL113,ADC-12,ADC-12,0.95,材料价格.xlsx,97,FALSE,
383,ADC-12,ADC-12,0.95,材料价格.xlsx,97,FALSE,
压铸铝合金,ADC-12,ADC-12,0.95,材料价格.xlsx,97,FALSE,
5A02,5A02,5A02,0.95,材料价格.xlsx,98,FALSE,
A-G2C,5A02,5A02,0.95,材料价格.xlsx,98,FALSE,
5251,5A02,5A02,0.95,材料价格.xlsx,98,FALSE,
1520,5A02,5A02,0.95,材料价格.xlsx,98,FALSE,
1100,1100,1100,0.95,材料价格.xlsx,99,FALSE,
A199,1100,1100,0.95,材料价格.xlsx,99,FALSE,
A45,1100,1100,0.95,材料价格.xlsx,99,FALSE,
1200,1100,1100,0.95,材料价格.xlsx,99,FALSE,
1060,1060,1060,0.95,材料价格.xlsx,100,FALSE,
A199.6,1060,1060,0.95,材料价格.xlsx,100,FALSE,
(AO),1060,1060,0.95,材料价格.xlsx,100,FALSE,
2A50,2A50,2A50,0.95,材料价格.xlsx,101,FALSE,
3960,2A50,2A50,0.95,材料价格.xlsx,101,FALSE,
2A14,2A14,2A14,0.95,材料价格.xlsx,102,FALSE,
AlCuSiMn,2A14,2A14,0.95,材料价格.xlsx,102,FALSE,
A-U4SG,2A14,2A14,0.95,材料价格.xlsx,102,FALSE,
2014A,2A14,2A14,0.95,材料价格.xlsx,102,FALSE,
1380,2A14,2A14,0.95,材料价格.xlsx,102,FALSE,
LD10,LD10,LD10,0.95,材料价格.xlsx,103,FALSE,
AK8,LD10,LD10,0.95,材料价格.xlsx,103,FALSE,
H15,LD10,LD10,0.95,材料价格.xlsx,103,FALSE,
3.1255,LD10,LD10,0.95,材料价格.xlsx,103,FALSE,
2A12,2A12,2A12,0.95,材料价格.xlsx,104,FALSE,
AlCuMg2,2A12,2A12,0.95,材料价格.xlsx,104,FALSE,
A-U4SG1,2A12,2A12,0.95,材料价格.xlsx,104,FALSE,
GB-24S,2A12,2A12,0.95,材料价格.xlsx,104,FALSE,
1160,2A12,2A12,0.95,材料价格.xlsx,104,FALSE,
硬铝合金,2A12,2A12,0.95,材料价格.xlsx,104,FALSE,
LY12,LY12,LY12,0.95,材料价格.xlsx,105,FALSE,
3.1355,LY12,LY12,0.95,材料价格.xlsx,105,FALSE,
2A11,2A11,2A11,0.95,材料价格.xlsx,106,FALSE,
AlCuMg1,2A11,2A11,0.95,材料价格.xlsx,106,FALSE,
A-U4G,2A11,2A11,0.95,材料价格.xlsx,106,FALSE,
1110,2A11,2A11,0.95,材料价格.xlsx,106,FALSE,
LY11,LY11,LY11,0.95,材料价格.xlsx,107,FALSE,
3.1325,LY11,LY11,0.95,材料价格.xlsx,107,FALSE,
3A21,3A21,3A21,0.95,材料价格.xlsx,108,FALSE,
AlMnCu,3A21,3A21,0.95,材料价格.xlsx,108,FALSE,
A-M1,3A21,3A21,0.95,材料价格.xlsx,108,FALSE,
3103,3A21,3A21,0.95,材料价格.xlsx,108,FALSE,
1400,3A21,3A21,0.95,材料价格.xlsx,108,FALSE,
LF21,LF21,LF21,0.95,材料价格.xlsx,109,FALSE,
N3,LF21,LF21,0.95,材料价格.xlsx,109,FALSE,
3.0515,LF21,LF21,0.95,材料价格.xlsx,109,FALSE,
3003,3003,3003,0.95,材料价格.xlsx,110,FALSE,
3004,3004,3004,0.95,材料价格.xlsx,111,FALSE,
A-M1G,3004,3004,0.95,材料价格.xlsx,111,FALSE,
4043,4043,4043,0.95,材料价格.xlsx,112,FALSE,
AlSi5,4043,4043,0.95,材料价格.xlsx,112,FALSE,
4043A,4043,4043,0.95,材料价格.xlsx,112,FALSE,
LF2,LF2,LF2,0.95,材料价格.xlsx,113,FALSE,
AMr2,LF2,LF2,0.95,材料价格.xlsx,113,FALSE,
AN4,LF2,LF2,0.95,材料价格.xlsx,113,FALSE,
5A06,5A06,5A06,0.95,材料价格.xlsx,114,FALSE,
Al-Mg,5A06,5A06,0.95,材料价格.xlsx,114,FALSE,
1560,5A06,5A06,0.95,材料价格.xlsx,114,FALSE,
防锈铝,5A06,5A06,0.95,材料价格.xlsx,114,FALSE,
LF6,LF6,LF6,0.95,材料价格.xlsx,115,FALSE,
AMr6,LF6,LF6,0.95,材料价格.xlsx,115,FALSE,
5086,5086,5086,0.95,材料价格.xlsx,116,FALSE,
A-G4MC,5086,5086,0.95,材料价格.xlsx,116,FALSE,
LD30,LD30,LD30,0.95,材料价格.xlsx,117,FALSE,
H20,LD30,LD30,0.95,材料价格.xlsx,117,FALSE,
LD31,LD31,LD31,0.95,材料价格.xlsx,118,FALSE,
H19,LD31,LD31,0.95,材料价格.xlsx,118,FALSE,
3.3205,LD31,LD31,0.95,材料价格.xlsx,118,FALSE,
6082,6082,6082,0.95,材料价格.xlsx,119,FALSE,
AlMgSi1,6082,6082,0.95,材料价格.xlsx,119,FALSE,
AlSiMgMn,6082,6082,0.95,材料价格.xlsx,119,FALSE,
3.2315,6082,6082,0.95,材料价格.xlsx,119,FALSE,
7A04,7A04,7A04,0.95,材料价格.xlsx,120,FALSE,
1950,7A04,7A04,0.95,材料价格.xlsx,120,FALSE,
LC4,LC4,LC4,0.95,材料价格.xlsx,121,FALSE,
B95,LC4,LC4,0.95,材料价格.xlsx,121,FALSE,
LC9,LC9,LC9,0.95,材料价格.xlsx,122,FALSE,
3.4365,LC9,LC9,0.95,材料价格.xlsx,122,FALSE,
QC-10,QC-10,QC-10,0.95,材料价格.xlsx,123,FALSE,
5754,5754,5754,0.95,材料价格.xlsx,124,FALSE,
AL7022,AL7022,AL7022,0.95,材料价格.xlsx,125,FALSE,
变形铝,AL7022,AL7022,0.95,材料价格.xlsx,125,FALSE,
ABS,ABS,ABS 米黄 黑色,0.9,材料价格.xlsx,129,FALSE,
丙烯晴,ABS,ABS 米黄 黑色,0.9,材料价格.xlsx,129,FALSE,
PP,PP,PP 白色 半透 黑色,0.9,材料价格.xlsx,131,FALSE,
聚丙烯,PP,PP 白色 半透 黑色,0.9,材料价格.xlsx,131,FALSE,
PE,PE,PE 白色 黑色蓝色,0.9,材料价格.xlsx,132,FALSE,
聚乙烯,PE,PE 白色 黑色蓝色,0.9,材料价格.xlsx,132,FALSE,
UPE,UPE,UPE 白色 黑色 绿色,0.9,材料价格.xlsx,133,FALSE,
超高分子量500万,UPE,UPE 白色 黑色 绿色,0.9,材料价格.xlsx,133,FALSE,
超高分子量830万,UPE,UPE 白色 黑色 绿色,0.9,材料价格.xlsx,134,FALSE,
超高分子量920万,UPE,UPE 白色 黑色 绿色,0.9,材料价格.xlsx,135,FALSE,
超高分子量1050万,UPE,UPE 白色 黑色 绿色,0.9,材料价格.xlsx,136,FALSE,
POM,POM,POM 白红 黑黄 绿色,0.9,材料价格.xlsx,137,FALSE,
赛钢,POM,POM 白红 黑黄 绿色,0.9,材料价格.xlsx,137,FALSE,
PU,PU,PU 蛋黄 红色,0.9,材料价格.xlsx,138,FALSE,
聚氨酯,PU,PU 蛋黄 红色,0.9,材料价格.xlsx,138,FALSE,
PC,PC,PC 白色 透明,0.9,材料价格.xlsx,139,FALSE,
聚碳酸酯,PC,PC 白色 透明,0.9,材料价格.xlsx,139,FALSE,
PA12,PA12,PA12 黑 白,0.9,材料价格.xlsx,140,FALSE,
尼龙,PA12,PA12 黑 白,0.9,材料价格.xlsx,140,FALSE,
PA46,PA46,PA46 棕色,0.9,材料价格.xlsx,141,FALSE,
PA66,PA66,PA66 白黑蓝绿米黄色,0.9,材料价格.xlsx,142,FALSE,
MC,MC,MC 米黄 黑色,0.9,材料价格.xlsx,143,FALSE,
PA66+GF,PA66+GF,PA66+GF 黑色 米白,0.9,材料价格.xlsx,144,FALSE,
尼龙加钎,PA66+GF,PA66+GF 黑色 米白,0.9,材料价格.xlsx,144,FALSE,
PET,PET,PET 灰色 白色,0.9,材料价格.xlsx,145,FALSE,
丁二醇酯,PET,PET 灰色 白色,0.9,材料价格.xlsx,145,FALSE,
PBT,PBT,PBT 白色黑色,0.9,材料价格.xlsx,146,FALSE,
聚对苯二甲酸,PBT,PBT 白色黑色,0.9,材料价格.xlsx,146,FALSE,
PBT+GF30,PBT+GF30,PBT+GF30 白色黑色,0.9,材料价格.xlsx,147,FALSE,
PVC,PVC,PVC 深灰 浅灰,0.9,材料价格.xlsx,148,FALSE,
聚氯乙烯,PVC,PVC 深灰 浅灰,0.9,材料价格.xlsx,148,FALSE,
CPVC,CPVC,CPVC 深灰 浅灰,0.9,材料价格.xlsx,149,FALSE,
氯化聚氯乙烯,CPVC,CPVC 深灰 浅灰,0.9,材料价格.xlsx,149,FALSE,
PMMA,PMMA,PMMA 透明,0.9,材料价格.xlsx,150,FALSE,
亚克力 有机板,PMMA,PMMA 透明,0.9,材料价格.xlsx,150,FALSE,
PEI,PEI,PEI 琥珀色,0.9,材料价格.xlsx,151,FALSE,
聚醚洗亚胺,PEI,PEI 琥珀色,0.9,材料价格.xlsx,151,FALSE,
PSU,PSU,PSU 琥珀色,0.9,材料价格.xlsx,154,FALSE,
聚砜,PSU,PSU 琥珀色,0.9,材料价格.xlsx,154,FALSE,
PES,PES,PES 琥珀色,0.9,材料价格.xlsx,155,FALSE,
砜聚龙,PES,PES 琥珀色,0.9,材料价格.xlsx,155,FALSE,
PPSU,PPSU,PPSU 白 米黄 黑色,0.9,材料价格.xlsx,156,FALSE,
高性能聚合物,PPSU,PPSU 白 米黄 黑色,0.9,材料价格.xlsx,156,FALSE,
POM+PTFE,POM+PTFE,POM+PTFE 棕色,0.9,材料价格.xlsx,157,FALSE,
赛钢+铁氟龙,POM+PTFE,POM+PTFE 棕色,0.9,材料价格.xlsx,157,FALSE,
PPS,PPS,PPS 白色 黑色,0.9,材料价格.xlsx,158,FALSE,
聚苯硫醚,PPS,PPS 白色 黑色,0.9,材料价格.xlsx,158,FALSE,
PPS+GF,PPS+GF,PPS+GF 白色 黑色,0.9,材料价格.xlsx,159,FALSE,
PEEK,PEEK,PEEK 瓷白白色,0.9,材料价格.xlsx,160,FALSE,
聚醚醚酮,PEEK,PEEK 瓷白白色,0.9,材料价格.xlsx,160,FALSE,
PEEK(名牌：KETRON100),PEEK(名牌：KETRON100),PEEK(名牌：KETRON100),0.9,材料价格.xlsx,165,FALSE,
电木,电木,电木 棕红 黑色 黄色,0.9,材料价格.xlsx,166,FALSE,
PBI,PBI,PBI 黑色,0.9,材料价格.xlsx,167,FALSE,
聚苯并咪唑,PBI,PBI 黑色,0.9,材料价格.xlsx,167,FALSE,
PAI,PAI,PAI 黑 墨绿 蛋黄,0.9,材料价格.xlsx,168,FALSE,
酰胺基新型料,PAI,PAI 黑 墨绿 蛋黄,0.9,材料价格.xlsx,168,FALSE,
PI,PI,PI 棕色 黑色,0.9,材料价格.xlsx,169,FALSE,
聚酰亚胺,PI,PI 棕色 黑色,0.9,材料价格.xlsx,169,FALSE,
PFA,PFA,PFA 乳白,0.9,材料价格.xlsx,170,FALSE,
偏一氟,PFA,PFA 乳白,0.9,材料价格.xlsx,170,FALSE,
PVDF,PVDF,PVDF 白色,0.9,材料价格.xlsx,171,FALSE,
偏二氟,PVDF,PVDF 白色,0.9,材料价格.xlsx,171,FALSE,
PCTFE,PCTFE,PCTFE 半透,0.9,材料价格.xlsx,172,FALSE,
偏三氟,PCTFE,PCTFE 半透,0.9,材料价格.xlsx,172,FALSE,
PTFE,PTFE,PTFE 白色 黑色,0.9,材料价格.xlsx,173,FALSE,
偏四氟,PTFE,PTFE 白色 黑色,0.9,材料价格.xlsx,173,FALSE,
TORLON 4275,TORLON 4275,TORLON 4275 黑色,0.9,材料价格.xlsx,174,FALSE,
聚酰胺 - 酰亚胺,TORLON 4275,TORLON 4275 黑色,0.9,材料价格.xlsx,174,FALSE,
